0,1,2,3,4,5,6,7,8,9
1,Aizawl,New Market Aizawl,Onion,Other,FAQ,1500,3000,2250,09 May 2017
2,Aizawl,New Market Aizawl,Onion,Other,FAQ,1500,3000,2250,11 May 2017
3,Aizawl,New Market Aizawl,Onion,Other,FAQ,1500,3000,2250,12 May 2017
4,Aizawl,New Market Aizawl,Onion,Other,FAQ,1500,3000,2250,17 May 2017
5,Aizawl,New Market Aizawl,Onion,Other,FAQ,1900,3000,2450,11 Jul 2017
6,Aizawl,New Market Aizawl,Onion,Other,FAQ,1900,3000,2450,12 Jul 2017
7,Aizawl,New Market Aizawl,Onion,Other,FAQ,1900,3000,2450,18 Jul 2017
8,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,3000,2500,09 Mar 2017
9,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,3000,2500,21 Mar 2017
10,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,3000,2500,22 Mar 2017
11,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,4000,3000,31 Aug 2016
12,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,4000,3500,08 Sep 2016
13,Aizawl,New Market Aizawl,Onion,Other,FAQ,2000,6000,3000,28 Dec 2016
14,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3040,10 Oct 2016
15,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,02 Feb 2017
16,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,09 Sep 2016
17,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,13 Oct 2016
18,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,16 Sep 2016
19,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,18 Oct 2016
20,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,19 Oct 2016
21,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,20 Oct 2016
22,Aizawl,New Market Aizawl,Onion,Other,FAQ,2100,4000,3050,21 Oct 2016
